,Team,Opp,Game_Date,Game_Time,Timezone,isHome,Season,Season_Type,Playoff_Round,Quarters,Game_Clock,Score,Score_Opp,Win,Loss,Draw,First_Downs,First_Downs_Passing,First_Downs_Rushing,First_Downs_Penalty,Third_Down_Conversions,Third_Down_Attempts,Fourth_Down_Conversions,Fourth_Down_Attempts,Total_Offensive_Plays,Total_Yards,Yards_Per_Play,Total_Drives,Net_Passing_Yards,Pass_Completions,Pass_Attempts,Yards_Per_Pass,Sacks_Against,Sack_Yards_Lost,Rushing_Yards,Rushing_Attempts,Yards_Per_Rush,Red_Zone_Conversions,Red_Zone_Attempts,Total_Penalties,Total_Penalty_Yards,Turnovers,Fumbles_Lost,Interceptions_Thrown,Defensive_Touchdowns,Possession_Minutes,Possession_Seconds,Possession_Percent,First_Downs_Opp,First_Downs_Passing_Opp,First_Downs_Rushing_Opp,First_Downs_Penalty_Opp,Third_Down_Conversions_Opp,Third_Down_Attempts_Opp,Fourth_Down_Conversions_Opp,Fourth_Down_Attempts_Opp,Total_Offensive_Plays_Opp,Total_Yards_Opp,Yards_Per_Play_Opp,Total_Drives_Opp,Net_Passing_Yards_Opp,Pass_Completions_Opp,Pass_Attempts_Opp,Yards_Per_Pass_Opp,Sacks_Against_Opp,Sack_Yards_Lost_Opp,Rushing_Yards_Opp,Rushing_Attempts_Opp,Yards_Per_Rush_Opp,Red_Zone_Conversions_Opp,Red_Zone_Attempts_Opp,Total_Penalties_Opp,Total_Penalty_Yards_Opp,Turnovers_Opp,Fumbles_Lost_Opp,Interceptions_Thrown_Opp,Defensive_Touchdowns_Opp,Possession_Minutes_Opp,Possession_Seconds_Opp,Possession_Percent_Opp,Neutral_Site,Venue,Venue_City,Venue_State,Attendance,Venue_Capacity,Moneyline,Odds,Spread,Over_Under,Head_Linesman,Back_Judge,Line_Judge,Umpire,Referee,Field_Judge,Side_Judge,Game_Id,Team_Id,Opp_Id,Game_Status
0,CLE,NYJ,2023-08-04,00:00,UTC,1.0,2023,Pre-Season,,4,,21.0,16.0,1.0,0.0,0.0,23.0,10.0,9.0,4.0,7.0,13.0,1.0,1.0,64.0,339.0,5.3,11.0,167.0,21.0,30.0,5.57,1.0,7.0,172.0,33.0,5.21,2.0,2.0,10.0,103.0,2.0,1.0,1.0,0.0,35.0,54.0,0.6,9.0,3.0,4.0,2.0,2.0,12.0,0.0,2.0,47.0,188.0,4.0,11.0,135.0,10.0,23.0,5.87,1.0,0.0,53.0,23.0,2.3,1.0,1.0,12.0,80.0,1.0,0.0,1.0,0.0,24.0,6.0,0.4,1.0,Tom Benson Hall of Fame Stadium,Canton,OH,19020,23000,115.0,-110.0,2.0,33.5,,,,,,,,803096862.0,1564.0,1594.0,Final
1,NYJ,CLE,2023-08-04,00:00,UTC,0.0,2023,Pre-Season,,4,,16.0,21.0,0.0,1.0,0.0,9.0,3.0,4.0,2.0,2.0,12.0,0.0,2.0,47.0,188.0,4.0,11.0,135.0,10.0,23.0,5.87,1.0,0.0,53.0,23.0,2.3,1.0,1.0,12.0,80.0,1.0,0.0,1.0,0.0,24.0,6.0,0.4,23.0,10.0,9.0,4.0,7.0,13.0,1.0,1.0,64.0,339.0,5.3,11.0,167.0,21.0,30.0,5.57,1.0,7.0,172.0,33.0,5.21,2.0,2.0,10.0,103.0,2.0,1.0,1.0,0.0,35.0,54.0,0.6,1.0,Tom Benson Hall of Fame Stadium,Canton,OH,19020,23000,-135.0,-110.0,-2.0,33.5,,,,,,,,803096862.0,1594.0,1564.0,Final
2,WSH,BAL,2023-08-22,00:00,UTC,1.0,2023,Pre-Season,,4,,29.0,28.0,1.0,0.0,0.0,29.0,20.0,6.0,3.0,8.0,16.0,1.0,1.0,81.0,426.0,5.26,11.0,297.0,36.0,52.0,5.71,3.0,29.0,129.0,26.0,4.96,3.0,4.0,5.0,58.0,2.0,1.0,1.0,0.0,35.0,50.0,0.6,20.0,11.0,7.0,2.0,4.0,9.0,0.0,0.0,49.0,334.0,6.82,11.0,185.0,16.0,22.0,8.41,0.0,0.0,149.0,27.0,5.52,3.0,3.0,6.0,36.0,2.0,0.0,2.0,0.0,24.0,10.0,0.4,0.0,FedExField,Landover,MD,54404,67617,100.0,-110.0,1.0,37.0,Maia Chaka,Tony Josselyn,Max Causey,Barry Anderson,Ronald Torbert,Ryan Dickson,Keith Washington,803096864.0,1610.0,1620.0,Final
3,BAL,WSH,2023-08-22,00:00,UTC,0.0,2023,Pre-Season,,4,,28.0,29.0,0.0,1.0,0.0,20.0,11.0,7.0,2.0,4.0,9.0,0.0,0.0,49.0,334.0,6.82,11.0,185.0,16.0,22.0,8.41,0.0,0.0,149.0,27.0,5.52,3.0,3.0,6.0,36.0,2.0,0.0,2.0,0.0,24.0,10.0,0.4,29.0,20.0,6.0,3.0,8.0,16.0,1.0,1.0,81.0,426.0,5.26,11.0,297.0,36.0,52.0,5.71,3.0,29.0,129.0,26.0,4.96,3.0,4.0,5.0,58.0,2.0,1.0,1.0,0.0,35.0,50.0,0.6,0.0,FedExField,Landover,MD,54404,67617,-120.0,-110.0,-1.0,37.0,Maia Chaka,Tony Josselyn,Max Causey,Barry Anderson,Ronald Torbert,Ryan Dickson,Keith Washington,803096864.0,1620.0,1610.0,Final
4,PHI,IND,2023-08-25,00:00,UTC,1.0,2023,Pre-Season,,4,,13.0,27.0,0.0,1.0,0.0,17.0,13.0,3.0,1.0,6.0,17.0,2.0,5.0,75.0,278.0,3.71,11.0,236.0,31.0,51.0,4.63,3.0,23.0,42.0,21.0,2.0,1.0,2.0,8.0,55.0,1.0,1.0,0.0,0.0,27.0,35.0,0.46,27.0,15.0,9.0,3.0,5.0,12.0,1.0,2.0,68.0,393.0,5.78,10.0,266.0,21.0,36.0,7.39,1.0,0.0,127.0,31.0,4.1,3.0,4.0,5.0,42.0,1.0,0.0,1.0,0.0,32.0,25.0,0.54,0.0,Lincoln Financial Field,Philadelphia,PA,69879,69879,215.0,-110.0,6.0,37.0,Jerod Phillips,Greg Wilson,Greg Bradley,James Carter II,Clay Martin,Alonzo Ramsey III,Dave Hawkshaw,803096866.0,1596.0,1576.0,Final
5,IND,PHI,2023-08-25,00:00,UTC,0.0,2023,Pre-Season,,4,,27.0,13.0,1.0,0.0,0.0,27.0,15.0,9.0,3.0,5.0,12.0,1.0,2.0,68.0,393.0,5.78,10.0,266.0,21.0,36.0,7.39,1.0,0.0,127.0,31.0,4.1,3.0,4.0,5.0,42.0,1.0,0.0,1.0,0.0,32.0,25.0,0.54,17.0,13.0,3.0,1.0,6.0,17.0,2.0,5.0,75.0,278.0,3.71,11.0,236.0,31.0,51.0,4.63,3.0,23.0,42.0,21.0,2.0,1.0,2.0,8.0,55.0,1.0,1.0,0.0,0.0,27.0,35.0,0.46,0.0,Lincoln Financial Field,Philadelphia,PA,69879,69879,-267.0,-110.0,-6.0,37.0,Jerod Phillips,Greg Wilson,Greg Bradley,James Carter II,Clay Martin,Alonzo Ramsey III,Dave Hawkshaw,803096866.0,1576.0,1596.0,Final
6,CAR,DET,2023-08-26,00:00,UTC,1.0,2023,Pre-Season,,4,,17.0,26.0,0.0,1.0,0.0,22.0,11.0,9.0,2.0,7.0,16.0,0.0,0.0,74.0,341.0,4.61,13.0,229.0,23.0,47.0,4.87,3.0,30.0,112.0,24.0,4.67,2.0,5.0,4.0,56.0,4.0,2.0,2.0,0.0,30.0,56.0,0.52,15.0,9.0,4.0,2.0,6.0,17.0,0.0,0.0,66.0,315.0,4.77,13.0,232.0,20.0,38.0,6.11,2.0,2.0,83.0,26.0,3.19,1.0,3.0,6.0,41.0,0.0,0.0,0.0,1.0,29.0,4.0,0.48,0.0,Bank of America Stadium,Charlotte,NC,71506,73778,-210.0,-110.0,-4.5,36.5,Dale Keller,Jimmy Russell,Mark Perlman,Alex Moore,Bill Vinovich,Joe Blubaugh,Jimmy Buchanan,803096868.0,1612.0,1570.0,Final
7,DET,CAR,2023-08-26,00:00,UTC,0.0,2023,Pre-Season,,4,,26.0,17.0,1.0,0.0,0.0,15.0,9.0,4.0,2.0,6.0,17.0,0.0,0.0,66.0,315.0,4.77,13.0,232.0,20.0,38.0,6.11,2.0,2.0,83.0,26.0,3.19,1.0,3.0,6.0,41.0,0.0,0.0,0.0,1.0,29.0,4.0,0.48,22.0,11.0,9.0,2.0,7.0,16.0,0.0,0.0,74.0,341.0,4.61,13.0,229.0,23.0,47.0,4.87,3.0,30.0,112.0,24.0,4.67,2.0,5.0,4.0,56.0,4.0,2.0,2.0,0.0,30.0,56.0,0.52,0.0,Bank of America Stadium,Charlotte,NC,71506,73778,175.0,-110.0,4.5,36.5,Dale Keller,Jimmy Russell,Mark Perlman,Alex Moore,Bill Vinovich,Joe Blubaugh,Jimmy Buchanan,803096868.0,1570.0,1612.0,Final
8,NO,HOU,2023-08-28,00:00,UTC,1.0,2023,Pre-Season,,4,,13.0,17.0,0.0,1.0,0.0,18.0,13.0,5.0,0.0,8.0,20.0,0.0,2.0,77.0,348.0,4.52,14.0,257.0,28.0,54.0,4.76,2.0,8.0,91.0,21.0,4.33,1.0,1.0,2.0,15.0,2.0,0.0,2.0,0.0,30.0,9.0,0.5,11.0,8.0,3.0,0.0,5.0,16.0,0.0,1.0,61.0,235.0,3.85,15.0,104.0,15.0,27.0,3.85,3.0,23.0,131.0,31.0,4.23,2.0,3.0,5.0,45.0,0.0,0.0,0.0,0.0,29.0,51.0,0.5,0.0,Caesars Superdome,New Orleans,LA,70053,73000,-120.0,-110.0,-1.0,37.5,,,,,,,,803096870.0,1590.0,1622.0,Final
9,HOU,NO,2023-08-28,00:00,UTC,0.0,2023,Pre-Season,,4,,17.0,13.0,1.0,0.0,0.0,11.0,8.0,3.0,0.0,5.0,16.0,0.0,1.0,61.0,235.0,3.85,15.0,104.0,15.0,27.0,3.85,3.0,23.0,131.0,31.0,4.23,2.0,3.0,5.0,45.0,0.0,0.0,0.0,0.0,29.0,51.0,0.5,18.0,13.0,5.0,0.0,8.0,20.0,0.0,2.0,77.0,348.0,4.52,14.0,257.0,28.0,54.0,4.76,2.0,8.0,91.0,21.0,4.33,1.0,1.0,2.0,15.0,2.0,0.0,2.0,0.0,30.0,9.0,0.5,0.0,Caesars Superdome,New Orleans,LA,70053,73000,100.0,-110.0,1.0,37.5,,,,,,,,803096870.0,1622.0,1590.0,Final
